PDB_ID,Chain,CATH,N,Fmax_[e/A],Dmax_[A],Lmax_[A],lambda
1nz9,A,2.30.30.30,58,0.94,118.78,116,0.51
1iz6,A,2.30.30.30,136,1.58,388.25,383.5,0.74
2joy,A,2.30.30.30,96,0.91,92.16,61.25,0.15
2jng,A,2.30.30.30,77,1.26,200.8,195,0.67
2hsp,A,2.30.30.40,71,1.13,183.09,180.75,0.67
1qwf,A,2.30.30.40,56,0.86,31.95,38.5,0.12
1ckb,A,2.30.30.40,57,1.14,90.66,97,0.4
1i07,A,2.30.30.40,59,0.62,102.92,66,0.33
1muz,A,2.30.30.40,81,1.21,69.08,66.25,0.17
1jqq,A,2.30.30.40,79,1.15,196.07,184.75,0.62
1h92,A,2.30.30.40,63,0.81,109.85,102.5,0.42
1awj,A,2.30.30.40,77,0.96,119.36,102.25,0.34
2o88,A,2.30.30.40,58,0.86,81.81,79.75,0.34
1nm7,A,2.30.30.40,61,1.1,100.01,112.25,0.42
2o2w,A,2.30.30.40,67,1.14,168.64,171.25,0.66
1pht,A,2.30.30.40,83,1.51,172.55,183.25,0.53
1aww,A,2.30.30.40,67,0.8,94.96,81.25,0.31
1ri9,A,2.30.30.40,77,0.8,183.78,168.5,0.6
1uff,A,2.30.30.40,93,0.8,224.27,166.75,0.56
2o2o,A,2.30.30.40,75,1.14,144.78,150.5,0.49
1ujy,A,2.30.30.40,76,0.97,171.77,165,0.57
1lck,A,2.30.30.40,164,1.14,442.68,433.5,0.7
2a36,A,2.30.30.40,59,0.97,113.14,113.25,0.48
2csq,A,2.30.30.40,97,0.97,273.9,234.25,0.7
1gfc,A,2.30.30.40,59,0.87,138,138.5,0.6
1udl,A,2.30.30.40,98,0.96,179.76,140.25,0.41
2rf0,A,2.30.30.40,62,1.15,134.24,137,0.55
2j6k,A,2.30.30.40,57,1.04,133.98,143.25,0.61
2js0,A,2.30.30.40,61,0.84,53.7,49.25,0.18
1uue,A,2.30.30.40,57,0.94,135.97,139.5,0.62
1bu1,A,2.30.30.40,57,1.06,134.24,142.75,0.62
1srm,A,2.30.30.40,56,0.94,125.26,132,0.59
1hd3,A,2.30.30.40,58,0.94,87.98,87.75,0.37
1s1n,A,2.30.30.40,60,0.88,141.78,143,0.61
1aey,A,2.30.30.40,58,0.95,44.02,48.25,0.17
1uhf,A,2.30.30.40,69,1.06,180.12,179,0.67
1awo,A,2.30.30.40,57,0.81,130.91,133.75,0.6
1tud,A,2.30.30.40,60,1.04,100.02,109.25,0.43
1x6b,A,2.30.30.40,79,0.96,132.91,107.75,0.36
1sem,A,2.30.30.40,58,1.24,142.03,151.5,0.64
4hck,A,2.30.30.40,61,0.96,122.86,126.25,0.52
5hck,A,2.30.30.40,61,0.96,89.73,101,0.38
1x2q,A,2.30.30.40,88,0.96,213.59,175,0.58
2d0n,A,2.30.30.40,59,0.95,86.68,87.25,0.35
2ak5,A,2.30.30.40,60,1.04,148.94,149.75,0.64
1pkt,A,2.30.30.40,76,1.48,146.98,164.75,0.5
1neg,A,2.30.30.40,65,0.98,165.85,161,0.65
1tuc,A,2.30.30.40,61,1.11,50.72,51.25,0.15
1srl,A,2.30.30.40,56,0.78,123.54,132.5,0.58
1t0j,A,2.30.30.40,96,1.23,270.52,253.5,0.72
1gbq,A,2.30.30.40,57,0.85,100.97,112.25,0.46
1ugv,A,2.30.30.40,72,0.79,104.44,79.75,0.3
1hjd,A,2.30.30.40,101,1.25,49.63,45,0.07
1zbj,A,2.30.30.40,59,0.59,73.97,73.5,0.31
1cka,A,2.30.30.40,57,1,134.05,138.5,0.61
1n5z,A,2.30.30.40,71,1.2,166.73,163.25,0.59
1neb,A,2.30.30.40,60,0.84,78.73,75.25,0.3
3gbq,A,2.30.30.40,57,0.78,61.01,64,0.27
1wx6,A,2.30.30.40,91,0.85,214.25,184.25,0.58
1shf,A,2.30.30.40,59,1.01,78.2,79.5,0.31
1e6h,A,2.30.30.40,61,1.01,152.48,154.25,0.65
1h8k,A,2.30.30.40,57,0.78,93.55,95.75,0.42
1bbz,A,2.30.30.40,58,1,110.31,114,0.48
1g83,A,2.30.30.40,161,1.23,502.67,494.5,0.82
2akk,A,2.30.30.40,74,1.34,44.03,36.75,0.07
1m3c,A,2.30.30.40,60,1,144.11,157.25,0.64
1bk2,A,2.30.30.40,57,1.02,110.8,115,0.5
2fry,A,2.30.30.40,61,0.79,137.74,142.75,0.59
1i0c,A,2.30.30.40,59,0.79,141.41,140.5,0.62
1gl5,A,2.30.30.40,67,1.02,167.37,162,0.64
1rlp,C,2.30.30.40,56,0.8,41.11,43.5,0.17
1ynz,A,2.30.30.40,57,1.1,136.91,148.25,0.63
1io6,A,2.30.30.40,59,0.98,94.05,98.75,0.41
1uti,A,2.30.30.40,57,0.98,109.03,116.25,0.49
1qwe,A,2.30.30.40,56,0.86,94.59,100.75,0.43
1qkx,A,2.30.30.40,58,0.98,89.04,88.25,0.37
1ov3,A,2.30.30.40,134,0.98,406.33,387.25,0.79
1j3t,A,2.30.30.40,74,1.26,206.14,204.5,0.72
1m3b,A,2.30.30.40,58,1.12,138.92,151,0.63
1x27,A,2.30.30.40,163,1.25,492.2,486.25,0.79
1k1z,A,2.30.30.40,78,0.98,161.69,144.25,0.5
1aze,A,2.30.30.40,56,0.99,131.63,135.75,0.61
1gfd,A,2.30.30.40,59,0.99,142.31,143,0.62
1hsq,A,2.30.30.40,71,0.99,153.95,147.5,0.55
1zx6,A,2.30.30.40,56,0.77,44.55,51.5,0.19
1abo,A,2.30.30.40,58,0.98,88.25,91,0.37
1ue9,A,2.30.30.40,80,1.31,203.72,198.25,0.65
1qly,A,2.30.30.40,58,1.02,114.96,119.25,0.5
2akl,A,2.30.30.40,116,1.3,198.11,163.5,0.37
1wyx,A,2.30.30.40,68,0.86,58.22,59.25,0.19
1e7o,A,2.30.30.40,59,0.94,73.22,75.25,0.3
1ug1,A,2.30.30.40,92,0.83,238.68,231.25,0.67
1prm,A,2.30.30.40,56,0.72,56.79,57.75,0.25
1nyg,A,2.30.30.40,58,0.92,94.23,97.25,0.41
2abl,A,2.30.30.40,163,1.08,494.25,476.75,0.79
1w1f,A,2.30.30.40,60,0.9,82.8,70,0.29
1e6g,A,2.30.30.40,59,0.9,140.91,142.25,0.62
1efn,A,2.30.30.40,57,1.06,132.25,139,0.61
1pks,A,2.30.30.40,76,1.44,147.34,164,0.51
1csk,A,2.30.30.40,58,1.08,134.11,140.5,0.6
1m3a,A,2.30.30.40,57,0.88,134.51,143.25,0.63
1b07,A,2.30.30.40,59,1.08,146.11,147.5,0.64
1h3h,A,2.30.30.40,60,0.74,105.39,105,0.45
1ark,A,2.30.30.40,60,0.91,80.83,78,0.31
1wi7,A,2.30.30.40,68,0.92,148.25,127.75,0.52
2pni,A,2.30.30.40,86,0.92,89.75,95.5,0.26
1nlp,C,2.30.30.40,56,0.82,66.16,72.75,0.29
1m8m,A,2.30.30.40,56,0.72,58.88,53.25,0.23
1pnj,A,2.30.30.40,86,0.83,93.59,80.75,0.24
1u06,A,2.30.30.40,55,0.93,104.59,110.25,0.49
2bz8,A,2.30.30.40,57,1.17,203.69,154.25,0.96
1uhc,A,2.30.30.40,79,0.92,168.12,169.5,0.55
1ssh,A,2.30.30.40,60,0.88,83.74,85.25,0.34
2frw,A,2.30.30.40,57,0.72,40.26,45.25,0.17
1nlo,C,2.30.30.40,56,0.88,78.77,86,0.35
1qkw,A,2.30.30.40,57,0.91,134.62,139.5,0.62
2jte,A,2.30.30.40,64,0.83,35.54,30.25,0.08
2epd,A,2.30.30.40,76,0.83,120.98,120.25,0.39
1gcq,A,2.30.30.40,56,0.91,44.26,44.75,0.17
1aoj,A,2.30.30.40,60,0.64,107.58,72,0.35
1fyn,A,2.30.30.40,62,1.26,151.35,156.5,0.63
2gbq,A,2.30.30.40,57,0.83,101.94,109.5,0.47
1m30,A,2.30.30.40,58,0.88,136.81,139,0.61
1prl,A,2.30.30.40,56,0.82,89.26,89.75,0.41
1awx,A,2.30.30.40,67,0.92,94.83,78.25,0.3
1jo8,A,2.30.30.40,58,1.29,137.69,146.75,0.62
1nyf,A,2.30.30.40,58,0.96,135.09,138.75,0.6
1jeg,A,2.30.30.40,60,0.83,45.54,42.75,0.16
2heq,A,2.30.30.40,84,1.26,117.92,96.5,0.29
1oeb,A,2.30.30.40,59,1.05,96.78,95.25,0.39
1abq,A,2.30.30.40,56,0.93,65.62,74.25,0.29
1gcp,A,2.30.30.40,65,1.35,158.17,170,0.63
2d1x,A,2.30.30.40,60,1.08,99.16,102.5,0.41
4gbq,A,2.30.30.40,57,0.84,131.09,139.75,0.61
1k0x,A,2.30.30.40,108,1.31,75.4,89.5,0.17
1zsg,A,2.30.30.40,65,0.76,70.28,60.75,0.22
1kfz,A,2.30.30.40,62,1.16,157.55,159,0.66
1yn8,A,2.30.30.40,59,0.89,86.11,87,0.35
1rlq,C,2.30.30.40,56,0.73,81.37,85.5,0.37
1wa7,A,2.30.30.40,60,1.04,145.21,140.5,0.62
1shg,A,2.30.30.40,57,0.91,133.14,140.5,0.61
1y0m,A,2.30.30.40,61,1.16,150.4,159,0.64
1zlm,A,2.30.30.40,58,1.04,90.39,88.5,0.36
2esw,A,2.30.30.40,60,1.18,147.93,147,0.63
1wxu,A,2.30.30.40,93,1.23,136.34,108.5,0.29
1u5s,A,2.30.30.40,71,0.72,159.8,140.75,0.55
1ywo,A,2.30.30.40,55,1.09,127.09,134.5,0.6
1pwt,A,2.30.30.40,61,1.05,152.15,159,0.65
2b86,A,2.30.30.40,59,0.88,143.07,133.75,0.61
1kik,A,2.30.30.40,57,0.93,102.92,103.75,0.45
1mv3,A,2.30.30.40,213,1.16,533.72,413.25,0.59
2a37,A,2.30.30.40,59,1.08,83.29,87.75,0.34
1k4u,P,2.30.30.40,62,0.9,56.27,49.5,0.17
1uj0,A,2.30.30.40,58,1.05,92.03,90.25,0.38
1ng2,A,2.30.30.40,176,1.08,255.7,217.25,0.33
1qp3,A,2.30.30.50,70,0.83,139.78,126.25,0.48
1pse,A,2.30.30.50,69,0.71,59.23,57.75,0.2
1psf,A,2.30.30.50,69,0.86,125.86,127,0.47
1qp2,A,2.30.30.50,70,0.83,139.2,126,0.48
1gxi,E,2.30.30.50,73,0.81,135.03,134.25,0.47
1vie,A,2.30.30.60,60,1.11,126.28,123,0.52
1vif,A,2.30.30.60,59,1.19,123.39,121.75,0.52
2p4t,A,2.30.30.60,58,1.09,79.98,77,0.3
2gqv,A,2.30.30.60,59,1.17,125.79,119.75,0.52
1qvp,A,2.30.30.90,87,0.9,156.03,151.5,0.45
1fx7,A,2.30.30.90,230,1.95,78.91,63.25,0.04
1bym,A,2.30.30.90,97,1.01,88.88,64.75,0.15
2phe,A,2.30.31.10,66,0.7,135.19,111.5,0.48
1pcf,A,2.30.31.10,66,1.28,125.59,111.5,0.43
1l3a,A,2.30.31.10,166,1.56,495.07,494.5,0.78
1e8r,A,2.30.32.30,50,0.66,30.91,32.5,0.13
1qld,A,2.30.32.30,50,0.67,32.53,27.5,0.12
1p3h,A,2.30.33.40,99,1.75,169.64,169.75,0.41
1g31,A,2.30.33.40,107,1.77,212.49,221.25,0.5
1p8z,A,2.30.36.70,131,1.46,316.88,302.25,0.61
2exg,A,2.30.42.10,101,0.99,237.83,220.25,0.59
1xz9,A,2.30.42.10,101,0.99,236.38,222.75,0.59
1oby,A,2.30.42.10,75,1.12,113.76,125.5,0.39
1vj6,A,2.30.42.10,95,0.94,212.31,216.75,0.58
2d92,A,2.30.42.10,108,1,186.89,166.25,0.41
2os6,A,2.30.42.10,89,1.11,223.06,226.5,0.65
1x5r,A,2.30.42.10,112,1.11,278.71,251.25,0.62
2hga,A,2.30.42.10,103,1.19,246.95,218.75,0.59
3b76,A,2.30.42.10,101,0.83,175.56,177.75,0.44
2ain,A,2.30.42.10,93,0.69,80.67,79.25,0.21
1uit,A,2.30.42.10,117,0.89,307.16,262,0.65
1qau,A,2.30.42.10,112,1,142.41,145.5,0.32
1gm1,A,2.30.42.10,94,1,209.95,216.25,0.58
2awx,A,2.30.42.10,92,1,198.72,203.75,0.56
1x8s,A,2.30.42.10,98,0.98,209.18,209.5,0.55
1mfl,A,2.30.42.10,95,1.18,213.01,223,0.59
1ueq,A,2.30.42.10,123,1,267.63,241.25,0.54
1nte,A,2.30.42.10,82,1,210.32,209.5,0.67
1w9q,A,2.30.42.10,163,1.29,360.09,358,0.57
2dlu,A,2.30.42.10,111,0.94,282.75,243.75,0.63
2fn5,A,2.30.42.10,94,0.92,193.95,204.25,0.54
1bfe,A,2.30.42.10,110,1.16,168.93,163.25,0.38
1v6b,A,2.30.42.10,118,0.96,301.49,267.5,0.64
2awu,A,2.30.42.10,95,0.93,212.79,210.5,0.58
1d5g,A,2.30.42.10,96,0.93,219.92,221.75,0.6
2omj,A,2.30.42.10,89,0.93,217.06,205.5,0.62
1q7x,A,2.30.42.10,108,1.68,254,241.25,0.58
1p1e,A,2.30.42.10,101,0.86,219.86,229.5,0.57
2ejy,A,2.30.42.10,85,0.97,195.45,196.5,0.59
1w9o,A,2.30.42.10,164,1.21,362.75,358.25,0.57
2db5,A,2.30.42.10,128,1.15,231.13,193.25,0.41
1uep,A,2.30.42.10,103,0.94,136.31,114,0.29
2dc2,A,2.30.42.10,87,0.87,196.03,196,0.59
1wg6,A,2.30.42.10,127,0.82,311.27,287.5,0.62
2ev8,A,2.30.42.10,85,0.95,62.92,64.25,0.16
1zok,A,2.30.42.10,93,0.95,202.38,203,0.56
1uez,A,2.30.42.10,101,0.93,242.12,237.75,0.62
1ufx,A,2.30.42.10,103,0.95,248.54,228.25,0.61
2i0i,A,2.30.42.10,81,0.95,178.11,182.25,0.57
1uju,A,2.30.42.10,111,0.93,248.81,227.75,0.56
2he4,A,2.30.42.10,90,0.85,102.36,89.25,0.25
1n7f,A,2.30.42.10,86,1.14,199.18,207.75,0.61
2h3l,A,2.30.42.10,103,1.12,236.69,235.25,0.59
1kwa,A,2.30.42.10,88,1.12,213.79,215.25,0.63
1qav,A,2.30.42.10,90,1.12,214.09,216.25,0.62
2pdz,A,2.30.42.10,86,1.34,198.62,210,0.6
2ogp,A,2.30.42.10,97,0.98,217.86,219.25,0.58
1x5n,A,2.30.42.10,114,1.25,301.47,266.5,0.66
1iu0,A,2.30.42.10,91,1.12,193.45,207.5,0.56
1q3o,A,2.30.42.10,104,1.39,229.14,244.5,0.58
2ehr,A,2.30.42.10,117,0.99,269.79,236.5,0.56
1pdr,A,2.30.42.10,96,0.98,169.38,164,0.44
2oqs,A,2.30.42.10,92,0.91,200.93,191,0.55
2dmz,A,2.30.42.10,129,0.97,323.45,318.75,0.65
1ry4,A,2.30.42.10,128,0.92,137.56,111.25,0.22
2uzc,A,2.30.42.10,87,1.14,205.23,208.5,0.61
3pdz,A,2.30.42.10,96,1.25,225.87,228.25,0.61
1i16,A,2.30.42.10,130,0.97,201.3,165.75,0.35
2aww,A,2.30.42.10,91,0.97,143.68,143.75,0.4
1z86,A,2.30.42.10,87,0.86,193.7,190.5,0.57
2byg,A,2.30.42.10,98,0.98,223.44,229.75,0.6
1obz,A,2.30.42.10,163,1.21,357,352.25,0.56
1n7e,A,2.30.42.10,95,0.99,229.93,216.5,0.61
2v90,A,2.30.42.10,95,1.04,224.12,211.75,0.6
1ybo,A,2.30.42.10,163,1.3,361.12,356.5,0.57
1gq5,A,2.30.42.10,91,1.03,218.98,217,0.62
1x5q,A,2.30.42.10,110,1.05,264.52,241,0.6
1gq4,A,2.30.42.10,90,1.28,222.38,223.5,0.64
1ozi,A,2.30.42.10,99,1.08,211.27,211.25,0.55
2h2c,A,2.30.42.10,107,1.04,256.49,254.5,0.62
1v1t,A,2.30.42.10,164,1.36,365.55,366.5,0.58
2h3m,A,2.30.42.10,94,1.07,213.99,223.25,0.6
2q9v,A,2.30.42.10,90,1.04,145.84,153.5,0.41
1wf8,A,2.30.42.10,107,1.03,109.18,89.25,0.2
1mfg,A,2.30.42.10,95,1.23,212.72,223,0.59
1uew,A,2.30.42.10,114,1.08,275.14,248.75,0.6
1ujv,A,2.30.42.10,96,1.04,187.83,165,0.47
2g2l,A,2.30.42.10,90,1.08,194.6,203.5,0.57
2h2b,A,2.30.42.10,107,1.06,254.74,235.5,0.6
1tp3,A,2.30.42.10,115,1.08,135.28,129,0.28
1n7t,A,2.30.42.10,103,0.77,104.55,98,0.24
1mc7,A,2.30.42.10,95,0.73,149.54,145.25,0.39
1v62,A,2.30.42.10,117,1.08,300.37,252.75,0.63
1g9o,A,2.30.42.10,91,1.04,222.94,214.5,0.63
1t2m,A,2.30.42.10,93,1.06,87.75,92.75,0.22
1wfv,A,2.30.42.10,103,1.06,142.91,131,0.32
1b8q,A,2.30.42.10,127,1.06,132.58,104.25,0.21
1rgw,A,2.30.42.10,85,1.06,195.4,199.25,0.6
1um7,A,2.30.42.10,113,1.1,217.51,167.5,0.42
1p1d,A,2.30.42.10,196,1.23,385.24,380.5,0.5
1iu2,A,2.30.42.10,91,1.02,136.05,146,0.39
1v5q,A,2.30.42.10,122,1.04,187.24,162.75,0.35
1va8,A,2.30.42.10,113,1.04,302.85,246,0.65
1obx,A,2.30.42.10,74,1.07,114.22,124.75,0.4
2csj,A,2.30.42.10,117,1.01,283.93,239.75,0.59
1m5z,A,2.30.42.10,91,1.14,102.25,114.5,0.29
1rzx,A,2.30.42.10,98,1.01,211.33,211.25,0.56
1w9e,A,2.30.42.10,164,1.3,362.25,362,0.57
1uf1,A,2.30.42.10,128,1.23,350.9,317.5,0.69
1tq3,A,2.30.42.10,110,1.11,107.97,104,0.22
1qlc,A,2.30.42.10,95,1.08,213.11,219.5,0.58
1v5l,A,2.30.42.10,103,1.08,258.95,251,0.65
1tp5,A,2.30.42.10,115,1.09,123.69,119.5,0.25
1be9,A,2.30.42.10,115,1.01,112.31,104,0.22
2z21,A,2.30.60.10,102,1.17,46.97,58,0.1
1l5b,A,2.30.60.10,101,1.25,220.38,212.75,0.55
1j4v,A,2.30.60.10,101,1.21,220.84,206.75,0.54
2ezn,A,2.30.60.10,101,1.26,173.78,186.75,0.45
1iiy,A,2.30.60.10,101,1.01,220,227.5,0.57
1lom,A,2.30.60.10,101,1.28,221.97,210.25,0.55
1m5j,A,2.30.60.10,101,1.29,234.75,225.5,0.59
1l5e,A,2.30.60.10,101,1.2,210.25,197.5,0.51
1m5m,A,2.30.60.10,101,1.27,233.64,227,0.59
2ezm,A,2.30.60.10,101,1.38,163.57,179,0.42
2pys,A,2.30.60.10,101,1.29,57.28,67.5,0.13
1n02,A,2.30.60.10,102,1.28,222.22,229.75,0.57
1mkc,A,2.30.90.10,43,0.24,25.01,3,0.01
1y5b,T,2.40.10.10,223,2.06,188.88,187,0.19
1smf,E,2.40.10.10,223,3.43,133.73,155.25,0.12
2fx6,A,2.40.10.10,223,3.43,129.57,153.75,0.12
3tgi,E,2.40.10.10,223,3.75,110.48,138,0.1
1qbn,A,2.40.10.10,223,3.43,111.84,134,0.1
1o2x,A,2.40.10.10,223,3.44,122.03,144.5,0.11
1e35,B,2.40.10.10,240,2.21,176.77,179.75,0.16
2sgd,E,2.40.10.10,185,2.38,126.18,146.75,0.16
1vja,U,2.40.10.10,247,2.21,174.71,172.5,0.15
1fn6,A,2.40.10.10,223,3.43,114.17,135.5,0.1
1try,A,2.40.10.10,224,2.06,164.72,168.25,0.17
1d6r,A,2.40.10.10,223,3.44,110.94,132.5,0.1
1kxd,A,2.40.10.10,158,1.69,160.57,154,0.23
1o2n,A,2.40.10.10,223,3.44,113.14,134.75,0.1
1ejm,A,2.40.10.10,223,3.44,110.25,133.5,0.1
1gcd,A,2.40.10.10,237,2.67,140.03,160.75,0.14
1g36,A,2.40.10.10,223,3.43,111.54,134.25,0.1
2j92,A,2.40.10.10,201,2.06,163.56,169,0.19
1v2l,T,2.40.10.10,223,3.42,111.54,131.75,0.1
1gbe,A,2.40.10.10,198,2.44,149.19,166.75,0.18
2alp,A,2.40.10.10,198,2.5,160.73,179.75,0.19
1uo6,A,2.40.10.10,240,2.21,178.11,181,0.17
1c5t,A,2.40.10.10,223,3.42,109.69,131.5,0.09
2ei7,A,2.40.10.10,233,2.07,180.32,177.5,0.17
1c1p,A,2.40.10.10,223,3.42,110.77,131.75,0.1
1c5p,A,2.40.10.10,223,3.42,109.82,133,0.09
1y3u,A,2.40.10.10,223,3.41,133.11,153.25,0.12
1o3e,A,2.40.10.10,223,3.41,126,144.75,0.11
1euf,A,2.40.10.10,224,2.2,365.51,365,0.41
1gbf,A,2.40.10.10,198,2.44,159.4,178.25,0.19
1v2k,T,2.40.10.10,223,3.41,110.59,133,0.1
1inc,A,2.40.10.10,240,2.08,176.18,176.5,0.16
1due,A,2.40.10.10,242,2.08,296.28,282.5,0.29
1tld,A,2.40.10.10,223,3.41,110.87,133.5,0.1
1sbw,A,2.40.10.10,223,3.41,132.03,153.5,0.12
1ppc,E,2.40.10.10,223,3.42,115.1,136,0.1
1xuk,A,2.40.10.10,223,3.75,114.96,140.75,0.1
1cgi,E,2.40.10.10,245,2.63,151.76,169.75,0.15
1xxd,A,2.40.10.10,238,2.06,194.18,187.25,0.18
1gj6,A,2.40.10.10,223,3.43,122.72,144.75,0.11
7lpr,A,2.40.10.10,198,2.54,292.2,313.5,0.37
1yf4,A,2.40.10.10,223,3.43,120.9,142.5,0.11
1bty,A,2.40.10.10,223,3.43,115.33,134.25,0.1
1mtw,A,2.40.10.10,223,3.43,113.31,134.75,0.1
1oyq,A,2.40.10.10,223,3.42,124.18,145,0.11
1k1n,A,2.40.10.10,223,3.42,121.54,145,0.11
2bdc,A,2.40.10.10,240,1.87,134.59,129.75,0.12
1ioe,A,2.40.10.10,235,1.87,186.5,181.75,0.18
5sga,E,2.40.10.10,181,2.44,127.2,154,0.17
1kxc,A,2.40.10.10,158,1.65,159.54,155,0.23
1g3d,A,2.40.10.10,223,3.42,121.54,143.75,0.11
2stb,E,2.40.10.10,222,3.75,113.1,135.25,0.09
1c2k,A,2.40.10.10,223,3.75,114.41,140,0.1
1k1m,A,2.40.10.10,223,3.42,124.36,145.75,0.11
2gct,A,2.40.10.10,236,2.75,137.99,161.25,0.13
1a0j,A,2.40.10.10,223,3.75,111.56,139.5,0.1
1o35,A,2.40.10.10,223,3.44,135.04,156.75,0.13
1f7z,A,2.40.10.10,213,3.46,110.81,133,0.1
1s0r,A,2.40.10.10,223,3.46,111.79,134.75,0.1
1v2j,T,2.40.10.10,223,3.46,112,134.25,0.1
2p59,A,2.40.10.10,151,2.04,370.24,377.5,0.63
1ox1,A,2.40.10.10,223,3.46,111.39,134.75,0.1
1c1s,A,2.40.10.10,223,3.46,122.97,145.75,0.11
1g3c,A,2.40.10.10,223,3.46,120.74,144.25,0.11
2eek,A,2.40.10.10,220,1.77,177.79,173,0.18
1xuj,A,2.40.10.10,223,3.72,115.29,140,0.1
1ct0,E,2.40.10.10,185,2.33,413.51,436.5,0.58
1xuf,A,2.40.10.10,223,3.46,113.81,137.75,0.1
6est,A,2.40.10.10,240,2.04,380.19,377,0.4
1gl1,A,2.40.10.10,239,2.62,138.41,155.75,0.13
1o3c,A,2.40.10.10,223,3.46,131.68,155.75,0.12
1mbm,A,2.40.10.10,198,1.65,291.43,308.5,0.38
1bjv,A,2.40.10.10,223,3.46,111.78,136.5,0.1
2o8l,A,2.40.10.10,216,2.04,209.17,209.25,0.23
1bra,A,2.40.10.10,223,3.72,112.11,138,0.1
1lka,A,2.40.10.10,240,2.23,178.8,180.75,0.17
2p16,A,2.40.10.10,234,2.03,183.53,180.5,0.18
1c1o,A,2.40.10.10,223,3.72,113.81,140,0.1
1c5q,A,2.40.10.10,223,3.48,133.34,156.25,0.12
1y5u,T,2.40.10.10,223,2.33,188.22,190,0.19
1gl0,E,2.40.10.10,241,2.96,144.78,167.75,0.14
1bef,A,2.40.10.10,177,1.09,198.17,180,0.26
1o3h,A,2.40.10.10,223,3.48,131.81,155,0.12
1o2r,A,2.40.10.10,223,3.47,114.38,137,0.1
1lvm,A,2.40.10.10,229,1.85,308.82,301.75,0.33
1o2o,A,2.40.10.10,223,3.47,132.2,155.25,0.12
1yp9,A,2.40.10.10,223,3.46,112.97,136,0.1
1sgn,E,2.40.10.10,185,2.62,130.09,158.25,0.17
2agg,A,2.40.10.10,223,3.46,113.58,136.5,0.1
1n1l,A,2.40.10.10,180,2.04,478.99,479,0.69
1dt2,A,2.40.10.10,245,1.92,313.09,300.25,0.3
1tgt,A,2.40.10.10,223,3.46,108.55,120.75,0.08
1h1b,A,2.40.10.10,218,2.04,179.31,175,0.18
1c1t,A,2.40.10.10,223,3.45,123.49,145.25,0.11
1brc,E,2.40.10.10,223,3.45,112.39,134.25,0.1
1qbo,A,2.40.10.10,223,3.45,113.03,134.25,0.1
1sgc,A,2.40.10.10,181,2.38,126.4,151.25,0.17
1o3g,A,2.40.10.10,223,3.45,122.27,144.75,0.11
1g3e,A,2.40.10.10,223,3.45,121.95,144.5,0.11
4tpi,I,2.40.10.10,223,3.45,113.4,124,0.09
2sge,E,2.40.10.10,185,2.21,262.29,280.75,0.36
1sgp,E,2.40.10.10,185,2.38,126.06,148.75,0.16
1l1n,A,2.40.10.10,180,2.05,133.06,138.75,0.16
1lkb,A,2.40.10.10,240,2.34,176.74,180.75,0.16
3btf,E,2.40.10.10,223,3.45,113.76,136.5,0.1
1dxp,A,2.40.10.10,175,2.05,465.39,468.25,0.69
1sgq,E,2.40.10.10,185,2.44,130.16,156.25,0.17
1o2q,A,2.40.10.10,223,3.44,121.25,144.25,0.11
1sfi,A,2.40.10.10,223,3.45,112.17,136.5,0.1
1sqt,A,2.40.10.10,245,2.22,170.81,173.5,0.16
1p2m,A,2.40.10.10,238,2.77,137.96,162,0.13
2nu4,E,2.40.10.10,185,2.44,269.73,294.5,0.37
2sga,A,2.40.10.10,181,2.22,130.07,151.25,0.18
1xui,A,2.40.10.10,223,3.72,113.69,140,0.1
2zcl,H,2.40.10.10,237,2.39,176.97,182,0.17
3gch,A,2.40.10.10,236,2.62,137.52,158.75,0.13
1wyk,A,2.40.10.10,152,1.57,134.91,137.25,0.2
1vcp,A,2.40.10.10,149,1.48,128.62,131,0.2
1gdu,A,2.40.10.10,224,2.04,167.58,170.25,0.17
1ghb,E,2.40.10.10,236,2.58,138.52,158.75,0.14
1tpa,E,2.40.10.10,223,3.73,113.38,139.5,0.1
2oxs,A,2.40.10.10,223,0.32,33.77,3.5,0
1m9u,A,2.40.10.10,241,2.22,163.03,168,0.15
1p06,A,2.40.10.10,198,2.54,150.81,169.25,0.18
1qrz,A,2.40.10.10,246,2.77,180.97,201.25,0.17
1elg,A,2.40.10.10,240,2.22,183.53,183.25,0.17
1xug,A,2.40.10.10,223,3.44,121.18,144.25,0.11
2g5n,A,2.40.10.10,223,2.08,188.79,186.5,0.19
1gi3,A,2.40.10.10,223,3.35,123.83,144,0.11
2fx4,A,2.40.10.10,223,3.34,131.88,152.25,0.12
1gbh,A,2.40.10.10,198,2.56,157.34,179.5,0.19
1zr0,A,2.40.10.10,223,3.33,131.7,152.25,0.12
1y3w,A,2.40.10.10,223,3.33,113.08,130.5,0.1
1ela,A,2.40.10.10,240,2.12,180.03,179.25,0.17
1c2g,A,2.40.10.10,223,3.32,110.48,130.75,0.1
2tga,A,2.40.10.10,223,3.32,110.26,130.25,0.1
1fon,A,2.40.10.10,232,1.9,145.62,144,0.14
1elb,A,2.40.10.10,240,2.17,175.01,179.25,0.16
1p09,A,2.40.10.10,198,2.56,149.27,171.25,0.18
1v2n,T,2.40.10.10,223,3.32,121.78,142.25,0.11
1v2w,T,2.40.10.10,223,3.31,111.77,133.25,0.1
1tgs,I,2.40.10.10,225,4.06,122.33,146.75,0.1
